ID_MARKET,LM_TNAME,LM_ENAME,CODE_ID,GROUP_ID,GROUP_TNAM,GROUP_ENAM,ADMIN_CODE,TAM_CODE,TAM_TNAME,TAM_ENAME,AMP_CODE,AMP_TNAME,AMP_ENAME,PROV_CODE,PROV_TNAME,PROV_ENAME,REG_CODE,REG_TNAME,REG_ENAME,POSTCOD,CNTRY_CODE,CNTRY_TNAM,CNTRY_ENAM,LAT,LONG
12018,ตลาดหนองจอก,Nongchok Market,14000,14,ตลาด,Market,6604014801,1,กระทุ่มราย,Krathum Rai,48,หนองจอก,Nong Chok,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10530,66,ไทย,Thailand,13.856142,100.866584
12020,ตลาดกลางผลิตผลการเกษตร,Klang Phalitphon Karn Kaset Market,14000,14,ตลาด,Market,6604014801,1,กระทุ่มราย,Krathum Rai,48,หนองจอก,Nong Chok,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10530,66,ไทย,Thailand,13.854484,100.872255
42828,ตลาดปัฐวิกรณ์,Pathawikorn Market,14000,14,ตลาด,Market,6604012601,1,คลองกุ่ม,Khlong Kum,26,บึงกุ่ม,Bung Kum,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.812184,100.651752
70894,ตลาดวัดจันทราราม,Talat Wat Chan Thra Ram,14000,14,ตลาด,Market,6604012601,1,คลองกุ่ม,Khlong Kum,26,บึงกุ่ม,Bung Kum,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.808191,100.650151
70905,ตลาดศูนย์การค้ามีนบุรี,Talat Sunkankha Min Buri,14000,14,ตลาด,Market,6604012601,1,คลองกุ่ม,Khlong Kum,26,บึงกุ่ม,Bung Kum,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.812131,100.651802
12196,ตลาดแฮปปี้แลนด์,Happyland Market,14000,14,ตลาด,Market,6604011601,1,คลองจั่น,Khlong Chan,16,บางกะปิ,Bang Kapi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.781651,100.64471
12197,ตลาดสดนครไทย,Nakhonthai Market,14000,14,ตลาด,Market,6604011601,1,คลองจั่น,Khlong Chan,16,บางกะปิ,Bang Kapi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.775325,100.629636
42837,ตลาดกลางแฮปปี้แลนด์,Happyland Central Market,14000,14,ตลาด,Market,6604011601,1,คลองจั่น,Khlong Chan,16,บางกะปิ,Bang Kapi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.769669,100.642446
42838,ตลาดสดบางกะปิ,Bangkapi Market,14000,14,ตลาด,Market,6604011601,1,คลองจั่น,Khlong Chan,16,บางกะปิ,Bang Kapi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.766972,100.646239
70924,ตลาดองค์การตลาดเพื่อเกษตรกร,Talat Ongkan Talat Phuea Kasettakon,14000,14,ตลาด,Market,6604011601,1,คลองจั่น,Khlong Chan,16,บางกะปิ,Bang Kapi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.767611,100.6454
70930,ตลาดเอี่ยมสมบัติ,Talat Iam Sombat,14000,14,ตลาด,Market,6604011601,1,คลองจั่น,Khlong Chan,16,บางกะปิ,Bang Kapi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.775258,100.629687
70878,ตลาดมิ่งขวัญพัฒนา,Talat Mingkhwan Phatthana,14000,14,ตลาด,Market,6604011601,1,คลองจั่น,Khlong Chan,16,บางกะปิ,Bang Kapi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10240,66,ไทย,Thailand,13.769502,100.642486
70843,ตลาดคุณหญิงบุญมี,Talat Khunying Bunmi,14000,14,ตลาด,Market,6604011001,1,คลองชักพระ,Khlong Chak Phra,10,ตลิ่งชัน,Taling Chan,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10170,66,ไทย,Thailand,13.776425,100.456702
12161,ตลาดเงินวิจิตร,Ngoen Wichit Market,14000,14,ตลาด,Market,6604010201,1,คลองต้นไทร,Khlong Ton Sai,2,คลองสาน,Khlong San,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.724499,100.493242
12162,ตลาดสดเสสะเวช,Sesawet Market,14000,14,ตลาด,Market,6604010201,1,คลองต้นไทร,Khlong Ton Sai,2,คลองสาน,Khlong San,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.724205,100.492709
70846,ตลาดเจริญพรผล,Talat Charoenphon Phon,14000,14,ตลาด,Market,6604010201,1,คลองต้นไทร,Khlong Ton Sai,2,คลองสาน,Khlong San,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.724463,100.493202
12000,มีแอร์มาร์เก็ต,Mee Air Market,14000,14,ตลาด,Market,6604010101,1,คลองตัน,Khlong Tan,1,คลองเตย,Khlong Toei,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10110,66,ไทย,Thailand,13.728031,100.568415
