id_depart,name,address,tel,time,dcode,dname,lat,lng
2,บิ๊กซี สาขาสุขาภิบาล 3 สาขา 2 (เอ็กซ์ตร้า),643 ถนน รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,0 2735 3062,เปิดเวลา 09:00-21:00น.,1006,บางกะปิ,13.7708549,100.6583974
3,โลตัส จรัญสนิทวงศ์,244 ซอย จรัญสนิทวงศ์ 79 แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,0 2434 7575,เปิดเวลา 08:00-22:00น.,1025,บางพลัด,13.78792845,100.5023849
4,โลตัส แจ้งวัฒนะ,300 ม.1 ถ.แจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กทม. 10210,0 2990 7580,เปิดเวลา 08:00-22:00น.,1041,หลักสี่,13.89582877,100.5561529
5,โลตัส ซีคอนสแควร์,904/2 ม.6 ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ กทม. 10260,0 2721 9118,เปิดเวลา 09:00-23:00น.,1032,ประเวศ,13.69253958,100.6480293
6,โลตัส บางแค,266 ถ. เพชรเกษม แขวงบางแคเหนือ เขตบางแค กทม. 10160,0 2804 4837,เปิดเวลา 08:00-23:00 น.,1040,บางแค,13.71265311,100.4189684
7,โลตัส บางกะปิ,3109 ถ.ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กทม. 10240,0 2116 5873,เปิดเวลา 08:00-22:00น.,1006,บางกะปิ,13.76830395,100.6438702
8,โลตัส บางปะกอก,538/2 ม.4 แขวงบางปะกอก เขตราษฎร์บูรณะ กทม 10140,0 2872 1525,เปิดเวลา 08:00-22:00น.,1024,ราษฎร์บูรณะ,13.67783388,100.5014712
9,โลตัส ประชาชื่น,829 ถ.ประชาราษฏร์2 แขวงบางซื่อ เขตบางซื่อ กทม. 10800,0 2910 6025,เปิดเวลา 08:00-22:00น.,1029,บางซื่อ,13.80596243,100.5344849
10,โลตัส พระราม 2,88/2528 ม.6 แขวงแสมดำ เขตบางขุนเทียน กทม.10150,0 2892 8250,เปิดเวลา 08:00-23:00น.,1021,บางขุนเทียน,13.64782946,100.4188943
11,โลตัส พระราม 3,172 ถ.นราธิวาสราชนครินทร์ แขวงช่องนนทรี เขตยานาวา กทม.10120,0 2681 0945,เปิดเวลา 08:00-23:00น.,1012,ยานนาวา,13.69649021,100.5413436
12,โลตัส พระราม 4,3300 ถ.พระราม4 แขวงคลองตัน เขตคลองเตย กทม.10110,0 2672 8585,เปิดเวลา 07:00-23:00น.,1033,คลองเตย,13.71699232,100.5684751
13,โลตัส มีนบุรี,136 ถ.สุวินทวงศ์ แขวงเขตมีนบุรี เขตมีนบุรี กทม. 10510,0 2918 9003,เปิดเวลา 08:00-22:00น.,1010,มีนบุรี,13.81684745,100.7286552
14,โลตัส ฟอร์จูนทาวน์,7/1 ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กทม. 10320,0 2642 0500,เปิดเวลา 09:00-22:00น.,1026,ดินแดง,13.75660829,100.5646328
15,โลตัส รามอินทรา,59 ถ.ประดิษฐ์มนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กทม.10230,0 2935 9825,เปิดเวลา 07:00-23:00น.,1038,ลาดพร้าว,13.80173101,100.6136569
16,โลตัส ลาดพร้าว,1190 ถ.พหลโยธิน แขวงจอมพล เขตจตุจักร กทม. 10900,0 2930 9444,เปิดเวลา 08:00-22:00น.,1030,จตุจักร,13.81788925,100.5639125
17,โลตัส สุขาภิบาล 1,629 ม. 10 ถ.นวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กทม.10230,0 2947 7720,เปิดเวลา 08:00-22:00น.,1027,บึงกุ่ม,13.82557633,100.6596258
18,โลตัส สุขุมวิท 50,1710 ถ.สุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กทม. 10110,0 2741 4469,เปิดเวลา 06:00-24:00น.,1033,คลองเตย,13.70500988,100.6003747
19,โลตัส หลักสี่,599 ม. 3 ถ.พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กทม. 10220,0 2955 7500,เปิดเวลา 08:00-22:00น.,1005,บางเขน,13.87918048,100.600674
20,คาร์ฟู สาขาสุวินทวงศ์,123 ม.16 ถ.สุวินทวงศ์ แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ,02-9064814-21,เปิดเวลา ทุกวัน 09:00-23:00 น.,1010,มีนบุรี,13.81724495,100.7196773
21,คาร์ฟู สาขาเพชรเกษม,29/1 ม.11 ถ.เพชชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพฯ,02-807-4754-60,เปิดเวลา: ทุกวัน 09:00-23:00น.,1023,หนองแขม,13.70915029,100.3668086
22,คาร์ฟู สาขารามอินทรา,59 ม.4 ถ.รามอินทรา กม.25 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ,02-9717555-62,เปิดเวลา ทุกวัน 09:00-23:00น.,1005,บางเขน,13.86135411,100.6174076
23,คาร์ฟู สาขาพระราม 4,2929 ถ.พระราม 4 แขวงคลองตัน เขตคลองเตย กรุงเทพฯ,02-971-7555-62,เปิดเวลา ทุกวัน 09:00-23:00น.,1033,คลองเตย,13.71881904,100.5683485
24,คาร์ฟู สาขาบางแค,110/6 ม.9 ถ.เพชรเกษม แขวงบางหว้า เขตภาษีเจริญ กรุงเทพฯ,02-8047340-43,เปิดเวลา ทุกวัน 09:00-23:00น.,1022,ภาษีเจริญ,13.7114651,100.4337272
25,คาร์ฟู สาขารัชดาภิเษก,125 ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ,02-354-0570,เปิดเวลา ทุกวัน 09:00-23:00น.,1026,ดินแดง,13.76874863,100.5716123
26,คาร์ฟู สาขาบางบอน,19/164 ม.6 ถ.เอกชัย แขวงบางบอน เขตบางบอน กรุงเทพฯ,02-898-0991-8,เปิดเวลา ทุกวัน 09:00-23:00น.,1050,บางบอน,13.67889585,100.4351569
27,คาร์ฟู สาขาบางปะกอก,278 ม.1 ถ.สุขสวัสดิ์ แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพฯ,02-898-0991-8,เปิดเวลา ทุกวัน 09:00-23:00น.,1024,ราษฎร์บูรณะ,13.68347624,100.4907092
28,คาร์ฟู สาขาอ่อนนุช,114 ซ.อ่อนนุช 1 ถ.สุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ,02-311-8099,เปิดเวลา ทุกวัน 09:00-23:00น.,1039,วัฒนา,13.70922381,100.6015035
29,คาร์ฟู สาขาลาดพร้าว,669 ถ.ลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพฯ,02-983-7333,เปิดเวลา ทุกวัน 09:00-23:00น.,1030,จตุจักร,13.81065108,100.5664078
30,คาร์ฟู สาขาอิสรภาพ,2 ถ.อิสรภาพ วัดกัลยา เขตธนบุรี กรุงเทพฯ,02-890-3000,เปิดเวลา ทุกวัน 09:00-23:00น.,1015,ธนบุรี,13.7328766,100.4922691
